created_at,State,RTO,OEM,CNG ONLY,DIESEL,DIESEL/HYBRID,ELECTRIC(BOV),Petrol,Petrol /CNG,Petrol /HYBRID,PURE EV,STRONG HYBRID EV,PETROL/ETHANOL,Total,EV
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,BMW INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,1,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,HYUNDAI MOTOR INDIA LTD,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,JSW MG MOTOR INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,0,0,1,1,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,MAHINDRA ELECTRIC AUTOMOBILE LTD,0,0,0,0,0,0,0,1,0,0,1,1
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,MAHINDRA & MAHINDRA LIMITED,0,2,0,0,0,0,0,0,0,0,2,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,MARUTI SUZUKI INDIA LTD,0,0,0,0,4,0,0,0,0,0,4,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,NISSAN MOTOR INDIA PVT LTD,0,0,0,0,1,0,0,0,0,0,1,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,RENAULT INDIA PVT LTD,0,0,0,0,0,0,0,0,0,4,4,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,STELLANTIS INDIA PVT LTD,0,1,0,0,0,0,0,0,0,0,1,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,TATA MOTORS PASSENGER VEHICLES LTD,0,1,0,0,0,0,0,0,0,2,3,0
2025-11-07T12:55:29.171067+00:00,Tamil Nadu,ALANGULAM,TOYOTA KIRLOSKAR MOTOR PVT LTD,0,0,0,0,0,0,0,0,1,1,2,0
2025-11-07T12:55:29.191985+00:00,Tamil Nadu,ARUPPUKOTTAI,HYUNDAI MOTOR INDIA LTD,0,0,0,0,1,0,0,0,0,1,2,0
