rto,Maker,state,rto_number,district,BIO-CNG/BIO-GAS,BIO-DIESEL(B100),BIO-METHANE,CNG ONLY,DIESEL,DIESEL/HYBRID,DI-METHYL ETHER,DUAL DIESEL/BIO CNG,DUAL DIESEL/CNG,DUAL DIESEL/LNG,ELECTRIC(BOV),ETHANOL(E100),FLEX-FUEL(BIO-DIESEL),FLEX-FUEL(ETHANOL),FUEL CELL HYDROGEN,HCNG,HYDROGEN(ICE),LNG,LPG ONLY,METHANOL,NOT APPLICABLE,PETROL,PETROL/CNG,PETROL(E20),PETROL(E20)/CNG,PETROL(E20)/HYBRID,PETROL(E20)/HYBRID/CNG,PETROL(E20)/LPG,PETROL/HYBRID,PETROL/HYBRID/CNG,PETROL/LPG,PETROL/METHANOL,PLUG-IN HYBRID EV,PURE EV,SOLAR,STRONG HYBRID EV,TOTAL
ADOOR SRTO,HONDA CARS INDIA LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ADOOR SRTO,HYUNDAI MOTOR INDIA LTD,Kerala,KL26,Kottayam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,6
ADOOR SRTO,JSW MG MOTOR INDIA PVT LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2
ADOOR SRTO,KIA INDIA PRIVATE LIMITED,Kerala,KL26,Kottayam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4
ADOOR SRTO,MAHINDRA & MAHINDRA LIMITED,Kerala,KL26,Kottayam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
ADOOR SRTO,MARUTI SUZUKI INDIA LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6,21,0,0,0,0,0,0,0,0,0,0,96
ADOOR SRTO,NISSAN MOTOR INDIA PVT LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ADOOR SRTO,RENAULT INDIA PVT LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ADOOR SRTO,SKODA AUTO VOLKSWAGEN INDIA PVT LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
ADOOR SRTO,TATA MOTORS PASSENGER VEHICLES LTD,Kerala,KL26,Kottayam,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8
ADOOR SRTO,TATA PASSENGER ELECTRIC MOBILITY LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
ADOOR SRTO,TOYOTA KIRLOSKAR MOTOR PVT LTD,Kerala,KL26,Kottayam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,8
ALANGUDI UO,HYUNDAI MOTOR INDIA LTD,Tamil Nadu,TN641,Thanjavur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,7
ALANGUDI UO,KIA INDIA PRIVATE LIMITED,Tamil Nadu,TN641,Thanjavur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
ALANGUDI UO,MAHINDRA & MAHINDRA LIMITED,Tamil Nadu,TN641,Thanjavur,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ALANGUDI UO,MARUTI SUZUKI INDIA LTD,Tamil Nadu,TN641,Thanjavur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,9,0,0,0,0,0,0,0,0,0,0,39
